,Voter,Votes,Voted
4168,john_c_palmer,10,dhof
4169,jondashkyle,1,dhof
4170,pixlpa,1,dhof
4171,_callil,100,dhof
4172,chrismartz,70,dhof
4173,m1guelpf,1159,dhof
4174,jzstern,10,dhof
4175,loftradio_,20,dhof
4176,notscottmoore,610,dhof
4177,ckurdziel,100,dhof
4178,VirtualElena,2070,dhof
4179,lianwang16,5,dhof
4180,fishvote_,750,dhof
4181,TheDavidZhou,20,dhof
4182,tracydetg,30,dhof
4183,zydetg,40,dhof
4184,EricCMack,1,dhof
4185,getprsm,10,dhof
4186,catalogworks,10,dhof
4187,lwsnbaker,10,dhof
4188,mikemckain_,15,dhof
4189,j_humenansky,60,mhdempsey
4190,anquetil,20,mhdempsey
4191,aweissman,1205,mhdempsey
4192,mhdempsey,30,mhdempsey
4193,ckurdziel,2020,mhdempsey
4194,nawazahmednz,25,mhdempsey
4195,sariazout,100,mhdempsey
4196,tcburning,2,mhdempsey
4197,packyM,25,mhdempsey
4198,jessewldn,50,mhdempsey
4199,Tracy556677,6,mhdempsey
4200,vanlancker,10,mhdempsey
4201,john_c_palmer,110,mhdempsey
4202,Flynnjamm,400,mhdempsey
4203,jarroddicker,300,mhdempsey
4204,Nogoodtwts,86,mhdempsey
4205,331salmon,20,mhdempsey
4206,alexxzzhang,600,mhdempsey
4207,331salmon,10,0xtuba
4208,LilysProposal,10,0xtuba
4209,strangechances,550,0xtuba
4210,c5hex,1,0xtuba
4211,heatdeathx,70,0xtuba
4212,Iiterature,110,0xtuba
4213,m1guelpf,1000,0xtuba
4214,MarkBeylin,230,0xtuba
4215,chrismartz,100,0xtuba
4216,quasimatt,31,0xtuba
4217,arjunblj,420,0xtuba
4218,robwallet,70,0xtuba
4219,daranda,666,0xtuba
4220,like_a_bitcoin,20,0xtuba
4221,jami_welch_,45,0xtuba
4222,Ajrocwhm,100,0xtuba
4223,mikemckain_,30,0xtuba
4224,tonysheng,200,0xtuba
4225,_anishagnihotri,500,0xtuba
4226,taiyiyi1,60,0xtuba
4227,__GhostPepper,10,0xtuba
4228,kinlpame,60,0xtuba
4229,Veroniacy,60,0xtuba
4230,Nogoodtwts,100,0xtuba
4231,TMSearcher,20,0xtuba
4232,patrickxrivera,50,0xtuba
4233,liquidfunc,1,0xtuba
4234,sammybauch,2,0xtuba
4235,salmon_crypto,10,0xtuba
4236,TheDavidZhou,100,0xtuba
4237,discovery19881,30,0xtuba
4238,Kristen0230,10,0xtuba
4239,onedayillbeok,5,0xtuba
4240,sinahab,60,0xtuba
4241,anantdgoel,1,0xtuba
4242,Ericaqu38119446,80,0xtuba
4243,yaliujiaking,80,0xtuba
4244,xilufeng1,70,0xtuba
4245,samccarthy27,20,0xtuba
4246,obspoud,70,0xtuba
4247,jacksondame,130,herstoryDAO
4248,chrismartz,100,herstoryDAO
4249,bwats,10,herstoryDAO
4250,pixlpa,10,herstoryDAO
4251,mikemckain_,15,herstoryDAO
4252,LizHagelthorn,1070,herstoryDAO
4253,Iiterature,310,herstoryDAO
4254,matthewchaim,100,herstoryDAO
4255,themintfund,220,herstoryDAO
4256,AlexisGauba,490,herstoryDAO
4257,js_horne,170,herstoryDAO
4258,daranda,200,herstoryDAO
4259,teendaze,20,herstoryDAO
4260,ObiElledge,10,herstoryDAO
4261,ayenwhyay,1,herstoryDAO
4262,TheDavidZhou,40,herstoryDAO
4263,ckurdziel,100,herstoryDAO
4264,spencernoon,1050,herstoryDAO
4265,JO7eth,10,herstoryDAO
4266,StatefulWorks,10,herstoryDAO
4267,jondashkyle,25,herstoryDAO
4268,hotlikesuya,10,herstoryDAO
4269,Nogoodtwts,180,herstoryDAO
4270,jessewldn,50,herstoryDAO
4271,strangechances,15,herstoryDAO
4272,stephenpdiesel,5,herstoryDAO
4273,fionais__online,10,herstoryDAO
4274,kneelingbus,250,herstoryDAO
4275,awkweb,10,herstoryDAO
4276,seedclubhq,120,herstoryDAO
4277,osirene_,300,herstoryDAO
4278,nnnnicholas,3,herstoryDAO
4279,DivaDompe,2,herstoryDAO
4280,thisisthetruth,15,thattallguy
4281,patrickxrivera,100,thattallguy
4282,stephenpdiesel,7,thattallguy
4283,masonnystrom,200,thattallguy
4284,SpaceXponential,1,thattallguy
4285,petra_fran,3,thattallguy
4286,strangechances,40,thattallguy
4287,ljxie,100,thattallguy
4288,seedclubhq,300,thattallguy
4289,riabhutoria,50,thattallguy
4290,tomosman,110,thattallguy
4291,songcampdotband,290,thattallguy
4292,Aer0xander,30,thattallguy
4293,mikemckain_,20,thattallguy
4294,Sim_Pop,290,thattallguy
4295,mybellalogica,10,thattallguy
4296,LizHagelthorn,1000,thattallguy
4297,ljin18,1050,thattallguy
4298,29942611Amy,5,thattallguy
4299,belGIANgwaffles,200,thattallguy
4300,codygallo,10,thattallguy
4301,john_c_palmer,10,thattallguy
4302,jondashkyle,25,thattallguy
4303,matthewchaim,400,thattallguy
4304,Cooopahtroopa,301,thattallguy
4305,hubbersnaks,2,thattallguy
4306,DLROWiAM,15,thattallguy
4307,stephensonhmatt,200,thattallguy
4308,teendaze,20,thattallguy
4309,FWBtweets,110,thattallguy
4310,ive77i,2,thattallguy
4311,obspoud,50,thattallguy
4312,quiettheory,10,thattallguy
4313,RosaHamf,50,thattallguy
4314,piercesword,10,thattallguy
4315,nnnnicholas,3,thattallguy
4316,GavinSlate,5,thattallguy
4317,teddyburnette,193,teddyburnette
4318,quasimatt,1320,teddyburnette
4319,mathewi,1,teddyburnette
4320,apcbapcb,1045,teddyburnette
4321,paulgeller,1,teddyburnette
4322,Nogoodtwts,80,teddyburnette
4323,TywenKelly,1,teddyburnette
4324,khole_emily,500,teddyburnette
4325,jsmilovitz,10,teddyburnette
4326,teendaze,25,teddyburnette
4327,lil_smush,25,teddyburnette
4328,SpaceXponential,18,teddyburnette
4329,chaykak,1070,teddyburnette
4330,jondashkyle,517,teddyburnette
4331,strangechances,150,teddyburnette
4332,Veroniacy,70,teddyburnette
4333,mybellalogica,80,basgras
4334,cheriehu42,500,basgras
4335,DLROWiAM,50,basgras
4336,songcampdotband,1250,basgras
4337,matthewchaim,550,basgras
4338,quiettheory,800,basgras
4339,mikemckain_,45,basgras
4340,madebymetsa,12,basgras
4341,ive77i,26,basgras
4342,belGIANgwaffles,300,basgras
4343,thisisthetruth,10,basgras
4344,lil_smush,10,basgras
4345,markredito,410,basgras
4346,HubbleOfficial,10,basgras
4347,daoudaleonard,2,basgras
4348,stephenpdiesel,20,basgras
4349,SpaceXponential,96,basgras
4350,jubrilade_,10,basgras
4351,Jad_AE,5,basgras
4352,troels_a,5,basgras
4353,hvdsonofficial,5,basgras
4354,matdryhurst,420,basgras
4355,johnnymalandras,2,basgras
4356,annascarroll,390,basgras
4357,jim_stanczak,5,basgras
4358,joshuaJcohen,12,tubefilter
4359,TiwariKratika22,2,tubefilter
4360,SpaceXponential,8,tubefilter
4361,jamiew,2731,tubefilter
4362,ecrivaine_k,80,tubefilter
4363,ckurdziel,700,tubefilter
4364,fleshy,20,tubefilter
4365,jstn,1100,tubefilter
4366,ShawnKanungo,5,tubefilter
4367,CreatorCabins,95,tubefilter
4368,chrismartz,2,tubefilter
4369,ljin18,250,tubefilter
4370,bananabreds,1,tubefilter
4371,jamiew,110,zachklein
4372,thomastraum,10,zachklein
4373,jessewldn,935,zachklein
4374,jondashkyle,361,zachklein
4375,strangechances,50,zachklein
4376,pinsky_cindy,30,zachklein
4377,dApp_boi,30,zachklein
4378,km,3,zachklein
4379,JillFer64080512,20,zachklein
4380,officiallyrad,1,zachklein
4381,permaetheus,2,zachklein
4382,zachklein,650,zachklein
4383,chadsnuts,5,zachklein
4384,jstn,1105,zachklein
4385,Iiterature,13,zachklein
4386,stephenpdiesel,7,zachklein
4387,pixlpa,19,zachklein
4388,Tracy556677,20,zachklein
4389,xilufeng1,10,zachklein
4390,jarroddicker,400,zachklein
4391,stronghdkg,20,zachklein
4392,longmyself1,20,zachklein
4393,nklansek,1,zachklein
4394,ecrivaine_k,60,zachklein
4395,kinlpame,30,zachklein
4396,codygallo,5,zachklein
4397,cminxi,5,zachklein
4398,zydetg,25,zachklein
4399,tanghoufa,40,zachklein
4400,paulsearle_me,10,zachklein
4401,bbcheng10,1,zachklein
4402,FWBtweets,20,zachklein
4403,sammdec,20,zachklein
4404,daranda,930,zachklein
4405,mathewi,10,zachklein
4406,Iiterature,500,cheriehu42
4407,daranda,666,cheriehu42
4408,jondashkyle,981,cheriehu42
4409,mybellalogica,20,cheriehu42
4410,osirene_,770,cheriehu42
4411,rowanspencer__,25,cheriehu42
4412,chrismartz,200,cheriehu42
4413,matarr9,1,cheriehu42
4414,thisisthetruth,80,cheriehu42
4415,ollybromham,20,cheriehu42
4416,jami_welch_,15,cheriehu42
4417,charliedamgood,30,cheriehu42
4418,codygallo,10,cheriehu42
4419,mikemckain_,5,cheriehu42
4420,matthewchaim,100,cheriehu42
4421,jzstern,10,cheriehu42
4422,Cooopahtroopa,100,cheriehu42
4423,loftradio_,10,cheriehu42
4424,SpaceXponential,5,cheriehu42
4425,catalogworks,10,cheriehu42
4426,stephensonhmatt,200,cheriehu42
4427,FWBtweets,100,cheriehu42
4428,teendaze,20,cheriehu42
4429,pixlpa,5,cheriehu42
4430,ive77i,2,cheriehu42
4431,chaykak,560,cheriehu42
4432,ayenwhyay,1,cheriehu42
4433,lil_smush,25,cheriehu42
4434,jessewldn,200,cheriehu42
4435,strangechances,125,cheriehu42
4436,kalamishere,10,cheriehu42
4437,quiettheory,10,cheriehu42
4438,basgras,8,cheriehu42
4439,stephenpdiesel,5,cheriehu42
4440,seedclubhq,100,cheriehu42
4441,stephenpdiesel,7,DrewCoffman
4442,jacksondame,230,DrewCoffman
4443,jayrosenkrantz,10,DrewCoffman
4444,codybrown,600,DrewCoffman
4445,jongold,1726,DrewCoffman
4446,lylemckeany,50,DrewCoffman
4447,matthewchaim,142,DrewCoffman
4448,raihan_,380,DrewCoffman
4449,teendaze,7,DrewCoffman
4450,digitlartifacts,1050,DrewCoffman
4451,beaugunderson,70,DrewCoffman
4452,thisisthetruth,5,DrewCoffman
4453,codygallo,5,DrewCoffman
4454,Sim_Pop,130,DrewCoffman
4455,yaliujiaking,30,DrewCoffman
4456,hvdsonofficial,10,DrewCoffman
4457,jstn,270,DrewCoffman
4458,sub_rrosa,200,DrewCoffman
4459,gustavoxruiz,5,DrewCoffman
4460,DrewCoffman,1337,heyellieday
4461,easyIuckyfree,10,heyellieday
4462,thisisthetruth,5,heyellieday
4463,FWBtweets,250,heyellieday
4464,stephenpdiesel,5,heyellieday
4465,jacksondame,740,heyellieday
4466,yollo,6,heyellieday
4467,cameronparkins,120,heyellieday
4468,chrismartz,100,heyellieday
4469,patrickxrivera,150,heyellieday
4470,m1guelpf,29,heyellieday
4471,anantdgoel,4,heyellieday
4472,medhakothari,200,heyellieday
4473,strangechances,30,heyellieday
4474,heyellieday,10,heyellieday
4475,timefurutravel,70,heyellieday
4476,unicornfews,80,heyellieday
4477,ersanxian,60,heyellieday
4478,longmyself1,70,heyellieday
4479,ChadHugghins,4,heyellieday
4480,annascarroll,280,heyellieday
4481,jami_welch_,20,heyellieday
4482,beaugunderson,110,heyellieday
4483,streamjonathan,1,heyellieday
4484,jongold,420,heyellieday
4485,clam1123,7,heyellieday
4486,kenbot,5,heyellieday
4487,_willthompson,1,heyellieday
4488,maridegenia,80,heyellieday
4489,notscottmoore,100,heyellieday
4490,StatefulWorks,100,heyellieday
4491,trent_vanepps,500,heyellieday
4492,mobliducke,15,heyellieday
4493,divine_economy,30,divine_economy
4494,patrickxrivera,100,divine_economy
4495,mariodgabriele,1565,divine_economy
4496,ecrivaine_k,200,divine_economy
4497,TiwariKratika22,3,divine_economy
4498,rowanspencer__,60,divine_economy
4499,ShawnKanungo,5,divine_economy
4500,David_Rudnick,1060,divine_economy
4501,ljin18,500,divine_economy
4502,notscottmoore,250,divine_economy
4503,quasimatt,1140,divine_economy
4504,bitsikka,1285,Kpaxs
4505,patrickxrivera,200,Kpaxs
4506,masonnystrom,890,Kpaxs
4507,Kpaxs,100,Kpaxs
4508,kneelingbus,1360,Kpaxs
4509,stephensonhmatt,200,Kpaxs
4510,codygallo,5,Kpaxs
4511,kashinath_tamot,110,Kpaxs
4512,neya28901334,360,Kpaxs
4513,zydetg,9,Kpaxs
4514,like_a_bitcoin,20,Kpaxs
4515,tracydetg,60,Kpaxs
4516,sishuitang,40,Kpaxs
4517,maridegenia,40,Kpaxs
4518,29942611Amy,5,Kpaxs
4519,mikemckain_,30,Kpaxs
4520,ideamarkets_,10,Kpaxs
4521,enaraxr,81,Kpaxs
4522,qiuqiualg,80,Kpaxs
4523,Azrkhr,10,Kpaxs
4524,benschecter,10,Kpaxs
4525,medhakothari,1160,she_256
4526,AlexisGauba,2150,she_256
4527,BlockchainistaX,10,she_256
4528,jondashkyle,25,she_256
4529,jessewldn,590,she_256
4530,Sim_Pop,150,she_256
4531,Cooopahtroopa,50,she_256
4532,daranda,200,she_256
4533,strangechances,200,she_256
4534,0xJim,30,she_256
4535,jacksondame,40,she_256
4536,cminxi,10,she_256
4537,j_humenansky,25,she_256
4538,Nogoodtwts,128,she_256
4539,ramgsini,40,she_256
4540,mikemckain_,10,she_256
4541,osirene_,60,she_256
4542,tomosman,150,tomosman
4543,jackbutcher,2110,tomosman
4544,jarroddicker,520,tomosman
4545,mariodgabriele,525,tomosman
4546,jami_welch_,30,tomosman
4547,ShawnKanungo,10,tomosman
4548,seedclubhq,500,tomosman
4549,danidiez_,10,tomosman
4550,Online_workflow,10,tomosman
4551,thattallguy,530,tomosman
4552,serglotz,50,tomosman
4553,strangechances,10,tomosman
4554,BenPMG,10,tomosman
4555,sytaylor,40,tomosman
4556,mikemckain_,5,tomosman
4557,cfowlerdesign,10,tomosman
4558,Iiterature,100,tomosman
4559,patrickxrivera,250,tomosman
4560,codygallo,110,codygallo
4561,codybrown,100,codygallo
4562,simondlr,50,codygallo
4563,mathewi,1,codygallo
4564,swilera,1,codygallo
4565,strangechances,500,codygallo
4566,SpaceXponential,35,codygallo
4567,BlockchainistaX,20,codygallo
4568,apcbapcb,1015,codygallo
4569,teddyburnette,10,codygallo
4570,RoninImperial,20,codygallo
4571,jacksondame,300,codygallo
4572,SheralynPratt,1,codygallo
4573,belGIANgwaffles,1480,codygallo
4574,bitsikka,470,codygallo
4575,arsydotorg,1,codygallo
4576,ProjectBEBold,2,codygallo
4577,Gross_sculptor,1,codygallo
4578,aricaqueenia,50,codygallo
4579,patrickxrivera,100,codygallo
4580,fednovikov,10,codygallo
4581,jongold,200,codygallo
4582,eminemsaiko,20,codygallo
4583,Iiterature,300,codygallo
4584,sishuitang,70,codygallo
4585,angelofuture,100,blvkhvnd
4586,sirsuhayb,2250,blvkhvnd
4587,blvkhvnd,10,blvkhvnd
4588,MdCL,20,blvkhvnd
4589,TheAlexYao,500,blvkhvnd
4590,techspec_,10,blvkhvnd
4591,dillonatm,20,blvkhvnd
4592,BenSmit76890810,10,blvkhvnd
4593,HEATCHECKME,20,blvkhvnd
4594,Cramirez0426,20,blvkhvnd
4595,_kabessa,400,blvkhvnd
4596,patrickxrivera,220,blvkhvnd
4597,stefdelev,5,blvkhvnd
4598,JahleelDowdy,10,blvkhvnd
4599,m1guelpf,590,blvkhvnd
4600,raihan_,120,blvkhvnd
4601,Nogoodtwts,400,blvkhvnd
4602,bluen1ne,40,blvkhvnd
4603,FWBtweets,69,blvkhvnd
4604,pnts,150,pnts
4605,jstn,281,pnts
4606,katkova_86,10,pnts
4607,jamiew,50,pnts
4608,tcburning,3,pnts
4609,ran_dom,1,pnts
4610,streamjonathan,1,pnts
4611,strangechances,85,pnts
4612,StatefulWorks,1270,pnts
4613,trent_vanepps,500,pnts
4614,0xstark,1050,pnts
4615,TiwariKratika22,7,pnts
4616,annascarroll,800,pnts
4617,daranda,100,pnts
4618,bluerevilo,10,pnts
4619,EricCMack,1,pnts
4620,SpaceXponential,96,pnts
4621,mathewi,10,pnts
4622,j_humenansky,45,pnts
4623,42opinionz,5,pnts
4624,playboyhodl,1,pnts
4625,Iiterature,100,pnts
4626,CreatorCabins,220,pnts
4627,piercesword,1770,piercesword
4628,TMSearcher,1906,piercesword
4629,strangechances,90,piercesword
4630,riversidemetal1,60,piercesword
4631,______jpg______,100,piercesword
4632,CoffeeTimesTW,120,piercesword
4633,marrowdao,10,piercesword
4634,ButerinP,3,piercesword
4635,iJackie_eth,2,piercesword
4636,DecimalLove,40,piercesword
4637,Iiterature,100,piercesword
4638,andrewhong5297,580,piercesword
4639,enaraxr,330,enaraxr
4640,jessewldn,200,enaraxr
4641,strangechances,310,enaraxr
4642,jondashkyle,50,enaraxr
4643,levin_idan,5,enaraxr
4644,sirsuhayb,250,enaraxr
4645,SpaceXponential,6,enaraxr
4646,tomosman,10,enaraxr
4647,rob_future,4,enaraxr
4648,0xJim,10,enaraxr
4649,khole_emily,500,enaraxr
4650,sariazout,200,enaraxr
4651,belGIANgwaffles,0,enaraxr
4652,zherring,30,enaraxr
4653,jiayaliu,120,enaraxr
4654,Ericaqu38119446,50,enaraxr
4655,yubancheng,40,enaraxr
4656,xilufeng1,40,enaraxr
4657,RosaHamf,100,enaraxr
4658,osirene_,1000,enaraxr
4659,codygallo,10,enaraxr
4660,blueberrymarie,25,enaraxr
4661,sub_rrosa,260,enaraxr
4662,qingdou2019,2,enaraxr
4663,pixlpa,5,enaraxr
4664,Nogoodtwts,200,enaraxr
4665,digitlartifacts,500,enaraxr
4666,serglotz,30,enaraxr
4667,ecrivaine_k,200,enaraxr
4668,rowanspencer__,10,enaraxr
4669,Ajrocwhm,120,enaraxr
4670,aricaqueenia,70,enaraxr
4671,timefurutravel,60,enaraxr
4672,jacksondame,45,jacksondame
4673,moredillon,1,jacksondame
4674,lylemckeany,30,jacksondame
4675,TheOcclupanids,60,jacksondame
4676,rachaellamy,30,jacksondame
4677,beaugunderson,150,jacksondame
4678,r_namboodiripad,1,jacksondame
4679,quasimatt,390,jacksondame
4680,Iiterature,150,jacksondame
4681,digitlartifacts,25,jacksondame
4682,blueberrymarie,20,jacksondame
4683,Nogoodtwts,280,jacksondame
4684,jami_welch_,20,jacksondame
4685,LizHagelthorn,30,jacksondame
4686,seedclubhq,200,jacksondame
4687,isiain,40,jacksondame
4688,chrismartz,100,jacksondame
4689,danwlsn,65,jacksondame
4690,pixlpa,7,jacksondame
4691,stephensonhmatt,400,jacksondame
4692,matthewchaim,200,jacksondame
4693,ericnakagawa,1,jacksondame
4694,DrewCoffman,10,jacksondame
4695,khole_dena,350,jacksondame
4696,piercesword,22,jacksondame
4697,TMSearcher,22,jacksondame
4698,TheDavidZhou,20,jacksondame
4699,yaliujiaking,20,jacksondame
4700,unicornfews,20,jacksondame
4701,jongold,333,jacksondame
4702,sishuitang,10,jacksondame
4703,jstn,200,jacksondame
4704,jondashkyle,50,jacksondame
4705,readDanwrite,5,jacksondame
4706,coconidodev,50,jacksondame
4707,kiwipto,10,jacksondame
4708,staringispolite,50,jacksondame
4709,annascarroll,1040,jacksondame
4710,seanmitchell,20,jacksondame
4711,kushaanshah,10,jacksondame
4712,daranda,250,jacksondame
4713,strangechances,350,_anishagnihotri
4714,john_c_palmer,50,_anishagnihotri
4715,chrismartz,50,_anishagnihotri
4716,masonnystrom,100,_anishagnihotri
4717,prestonattebery,10,_anishagnihotri
4718,trent_vanepps,1060,_anishagnihotri
4719,jondashkyle,25,_anishagnihotri
4720,medhakothari,200,_anishagnihotri
4721,patrickxrivera,200,_anishagnihotri
4722,seanmitchell,25,_anishagnihotri
4723,holdfurubang,40,_anishagnihotri
4724,ColinandSamir,400,_anishagnihotri
4725,Cooopahtroopa,250,_anishagnihotri
4726,nklansek,1,_anishagnihotri
4727,arjunblj,170,_anishagnihotri
4728,sariazout,300,_anishagnihotri
4729,ecrivaine_k,100,_anishagnihotri
4730,maridegenia,30,_anishagnihotri
4731,RosaHamf,30,_anishagnihotri
4732,daranda,200,_anishagnihotri
4733,sinahab,50,_anishagnihotri
4734,StatefulWorks,1070,_anishagnihotri
4735,SpaceXponential,33,SpaceXponential
4736,stephenpdiesel,27,SpaceXponential
4737,quasimatt,315,SpaceXponential
4738,Lindsay17361467,10,SpaceXponential
4739,strangechances,350,SpaceXponential
4740,codygallo,43,SpaceXponential
4741,Nogoodtwts,640,SpaceXponential
4742,bitsikka,1250,SpaceXponential
4743,teddyburnette,100,SpaceXponential
4744,ShawnKanungo,30,SpaceXponential
4745,Tunacandrew,87,SpaceXponential
4746,ProjectBEBold,2,SpaceXponential
4747,thisisthetruth,10,SpaceXponential
4748,masonnystrom,50,SpaceXponential
4749,matarr9,2,SpaceXponential
4750,kashinath_tamot,150,SpaceXponential
4751,jessewldn,300,SpaceXponential
4752,fednovikov,40,SpaceXponential
4753,jimmyeatcarbs,1,SpaceXponential
4754,andrewhong5297,10,SpaceXponential
4755,Koseyazilari,5,SpaceXponential
4756,TiwariKratika22,1,SpaceXponential
4757,seedclubhq,200,SpaceXponential
4758,JonahBaer,4,SpaceXponential
4759,jarroddicker,400,SpaceXponential
4760,patrickxrivera,100,SpaceXponential
4761,tubefilter,2,SpaceXponential
4762,artwithhumans,4,SpaceXponential
4763,simondlr,50,SpaceXponential
4764,Ajrocwhm,130,SpaceXponential
4765,yubancheng,70,SpaceXponential
4766,ramgsini,70,SpaceXponential
4767,linjinlen,70,SpaceXponential
4768,robwallet,70,SpaceXponential
4769,maridegenia,70,SpaceXponential
4770,liquidfunc,1,SpaceXponential
4771,jessewldn,70,devonwelsh
4772,danpia,3,devonwelsh
4773,devonwelsh,30,devonwelsh
4774,ZOLAJESUS,10,devonwelsh
4775,lilmiquela,250,devonwelsh
4776,lil_smush,5,devonwelsh
4777,stephenpdiesel,2,devonwelsh
4778,raihan_,1770,devonwelsh
4779,cameronparkins,70,devonwelsh
4780,wavesexyz,10,devonwelsh
4781,whatdotcd,1580,devonwelsh
4782,0xstark,310,devonwelsh
4783,DrewCoffman,20,devonwelsh
4784,stephensonhmatt,200,devonwelsh
4785,rowanspencer__,10,devonwelsh
4786,strangechances,250,devonwelsh
4787,Litether,1,devonwelsh
4788,spencernoon,100,devonwelsh
4789,lily___digital,300,ourZORA
4790,levin_idan,5,ourZORA
4791,themintfund,1010,ourZORA
4792,jami_welch_,10,ourZORA
4793,thisisthetruth,5,ourZORA
4794,jondashkyle,50,ourZORA
4795,stephenpdiesel,7,ourZORA
4796,js_horne,1050,ourZORA
4797,masonnystrom,50,ourZORA
4798,AlexMasmej,69,ourZORA
4799,j_humenansky,20,ourZORA
4800,kinlpame,10,ourZORA
4801,sirsuhayb,100,ourZORA
4802,ash_bhimasani,10,ourZORA
4803,Cooopahtroopa,500,ourZORA
4804,EthExploring,50,ourZORA
4805,XSStheobserver,20,ourZORA
4806,whatdotcd,570,ourZORA
4807,qiuqiualg,40,ourZORA
4808,discovery19881,20,ourZORA
4809,pixlpa,5,ourZORA
4810,Nogoodtwts,100,ourZORA
4811,Showk999,10,ourZORA
4812,sub_rrosa,111,ourZORA
4813,john_c_palmer,100,ourZORA
4814,ljxie,300,ourZORA
4815,jessewldn,100,ourZORA
4816,paulgeller,1,ourZORA
4817,isiain,20,ourZORA
4818,ecrivaine_k,40,ourZORA
4819,annascarroll,1070,annesobine
4820,keikreutler,800,annesobine
4821,codygallo,10,annesobine
4822,patrickxrivera,300,annesobine
4823,ShawnKanungo,5,annesobine
4824,jacksondame,400,annesobine
4825,jondashkyle,400,annesobine
4826,Iiterature,570,annesobine
4827,strangechances,310,annesobine
4828,john_c_palmer,500,annesobine
4829,Obstropolos,100,annesobine
4830,daranda,200,annesobine
4831,andrewhong5297,20,andrewhong5297
4832,hongb9280,10,andrewhong5297
4833,SpaceXponential,11,andrewhong5297
4834,jacksondame,250,andrewhong5297
4835,patrickxrivera,780,andrewhong5297
4836,HelloShreyas,500,andrewhong5297
4837,Cooopahtroopa,300,andrewhong5297
4838,_kinjalbshah,1780,andrewhong5297
4839,qingdou2019,1,andrewhong5297
4840,FWBtweets,50,andrewhong5297
4841,codygallo,10,andrewhong5297
4842,ljxie,600,andrewhong5297
4843,quasimatt,350,andrewhong5297
4844,NatalieCrue,4,CoinviseCo
4845,Cooopahtroopa,100,CoinviseCo
4846,belGIANgwaffles,1500,CoinviseCo
4847,ashventure,10,CoinviseCo
4848,forefront__,1500,CoinviseCo
4849,YousufHaque,1,CoinviseCo
4850,CoinviseCo,30,CoinviseCo
4851,ljxie,400,CoinviseCo
4852,algoriddims,5,CoinviseCo
4853,jaesmail,150,CoinviseCo
4854,techspec_,10,CoinviseCo
4855,thisisthetruth,20,CoinviseCo
4856,JuliaLipton,200,CoinviseCo
4857,notscottmoore,400,CoinviseCo
4858,divine_economy,300,CoinviseCo
4859,patrickxrivera,870,iiiitsandrea
4860,Nogoodtwts,260,iiiitsandrea
4861,jstn,30,iiiitsandrea
4862,packyM,100,iiiitsandrea
4863,RosenZone,10,iiiitsandrea
4864,Iiterature,390,iiiitsandrea
4865,kushaanshah,20,iiiitsandrea
4866,iiiitsandrea,10,iiiitsandrea
4867,LizHagelthorn,500,iiiitsandrea
4868,TomJWhiteIV,8,iiiitsandrea
4869,js_horne,250,iiiitsandrea
4870,DrewCoffman,20,iiiitsandrea
4871,jamiew,10,iiiitsandrea
4872,mrejfox,8,iiiitsandrea
4873,TheDavidZhou,10,iiiitsandrea
4874,aweissman,850,iiiitsandrea
4875,jongold,1040,iiiitsandrea
4876,Lauracsc_,1,iiiitsandrea
4877,stephensonhmatt,200,iiiitsandrea
4878,markb,30,iiiitsandrea
4879,markjohnso_,10,iiiitsandrea
4880,Iiterature,760,wen_xs
4881,Nogoodtwts,370,wen_xs
4882,jamiew,555,wen_xs
4883,kneelingbus,250,wen_xs
4884,jbrukh,30,wen_xs
4885,osirene_,60,wen_xs
4886,jessewldn,250,wen_xs
4887,daranda,330,wen_xs
4888,stephensonhmatt,200,wen_xs
4889,simondlr,500,wen_xs
4890,stephenpdiesel,1,wen_xs
4891,aweissman,310,wen_xs
4892,strangechances,45,wen_xs
4893,mariodgabriele,830,wen_xs
4894,albertethwin,30,wen_xs
4895,xiangjieking,30,wen_xs
4896,holdfurubang,30,wen_xs
4897,obspoud,20,wen_xs
4898,wavesexyz,20,wen_xs
4899,cestycap,1,wen_xs
4900,rob_future,1,wen_xs
4901,strangechances,305,ChazSchmidt
4902,ChazSchmidt,30,ChazSchmidt
4903,sammybauch,20,ChazSchmidt
4904,trent_vanepps,1460,ChazSchmidt
4905,StatefulWorks,1166,ChazSchmidt
4906,chisox3000,5,ChazSchmidt
4907,PromoteYourNFTs,30,ChazSchmidt
4908,______jpg______,800,ChazSchmidt
4909,vincent_NFT,10,ChazSchmidt
4910,MPtherealMVP,500,ChazSchmidt
4911,levkangin,1,ChazSchmidt
4912,virtual_______,2,ChazSchmidt
4913,WPeaster,60,ChazSchmidt
4914,mikedotexe,10,ChazSchmidt
4915,spencecoin,30,ChazSchmidt
4916,jamiew,22,ChazSchmidt
4917,FWBtweets,169,ChazSchmidt
4918,sirsuhayb,70,sirsuhayb
4919,pixlpa,3,sirsuhayb
4920,lily___digital,200,sirsuhayb
4921,TheNamesBria_,10,sirsuhayb
4922,js_horne,1600,sirsuhayb
4923,Zigyzoe,10,sirsuhayb
4924,chrismartz,20,sirsuhayb
4925,dillonatm,10,sirsuhayb
4926,AKaiMorton,10,sirsuhayb
4927,osirene_,45,sirsuhayb
4928,patrickxrivera,100,sirsuhayb
4929,Matto_Rocks,10,sirsuhayb
4930,Cramirez0426,5,sirsuhayb
4931,jadbox,1,sirsuhayb
4932,karan4d,10,sirsuhayb
4933,annascarroll,1030,sirsuhayb
4934,raihan_,700,sirsuhayb
