source,target,CF_contribution
0x0736b28390d6f2d2a8a3184096cc163de2d0e29a,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.11
0x075dceb6ffc8d9edacd7f449d00987d33b6ee138,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x078e88e465f2a430399e319d57543a7a76e97668,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,5.0
0x07cbd4e4473140b6078aa987907aaff5e500b9f1,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.15589999999999998
0x07cbd4e4473140b6078aa987907aaff5e500b9f1,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.51
0x07cc65ec4de72fdf7d2b6c39fd80c4ea4706215b,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,111.1
0x083bdbaa68acd8cbfdbe5502ea8a27e9322e9bae,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.5
0x089832051da9a54b46398b3a73a4027364399e49,0xadbd9aeda5633448e8b4953b4376c9514075abf4,0.25
0x089ba0bc08dcf2d52d3aa7edd9a4ac960faabe9e,0x3b3525f60eeea4a1ef554df5425912c2a532875d,0.02
0x08cbf077180d45868cc04d8c053ec37025545933,0x3b3525f60eeea4a1ef554df5425912c2a532875d,0.05
0x08ceb8bba685ee708c9c4c65576837cbe19b9dea,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.2
0x08e5f4670b8e70fe77d952ba0fbbf9f4762aaf73,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x08fa21af985591e775523ef161f023764175a932,0xdc1f98682f4f8a5c6d54f345f448437b83f5e432,0.1
0x09be9ab0eb61327d26904bae69efdc6633d5eec8,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.1
0x09d07aec655032f6d05482999b6b7f683e80568b,0x3b3525f60eeea4a1ef554df5425912c2a532875d,0.0256
0x09d8270a1de38b53df1f47dec27f377ce145115c,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.17
0x09fabf8c79e141fea3b87629a19c1defef0b9291,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,6.66
0x0a1a2f4e58a20bd6b434f4dec00ba3c12427b600,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.001
0x0a2191f92f7234453e90bc30439b6671b9dcc4a9,0xadbd9aeda5633448e8b4953b4376c9514075abf4,0.25
0x0a5f919ca9132bf2ef97cac8852b3956162c1478,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x0a771437ee59dcd30429dda71a1a011db8957bd1,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x0aa5973f2614dccfbe53c8273da22502d7e4fbd5,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x0aac56a4e3a731bd39f57422b087965d8b7cac14,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.09
0x0b01168b77425d8a4df02f794d2ced416ec6e7d4,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.01
0x0b11bb088ab8d25e213d773f4bbfd49c2ccd71a6,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.05
0x0b36fb16057b97db1bf3b8b73bce4156e0ad0c63,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.0101
0x0b7917b62bc98967e06e80efba9abcaccf3d4928,0x3527a204a5260a0e36ca695312379370328e4e6c,0.25
0x0b7a1e683bb5c882722ef2f332288a10cda30a95,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x0b916095200313900104bacfc288462682c38700,0x3527a204a5260a0e36ca695312379370328e4e6c,0.1
0x0bc75db0d11969bbea1bc48e729e747362408232,0xf0cad7c8b383f79a879eb6df644e336234ebdac8,0.25
0x0bd4072375c41e25661552c7c1287a58289ada8e,0x3527a204a5260a0e36ca695312379370328e4e6c,0.04
0x0bd40aaf24d7c365338d23c252fe47b35d1e4bb9,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.007
0x0c2e9a64c9382bc2f99b092b3d0c3164375536d3,0xadbd9aeda5633448e8b4953b4376c9514075abf4,0.5
0x0cacc6104d8cd9d7b2850b4f35c65c1ecdeece03,0xc46e9a66fddc8d1a69529d86e668236f02957f1b,0.5
0x0cacc6104d8cd9d7b2850b4f35c65c1ecdeece03,0xda18e1537622802ec576d99a8e3913914653bd6f,0.5
0x0cacc6104d8cd9d7b2850b4f35c65c1ecdeece03,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x0d0aca99686fced8e6fb39134aaed96f09b5283c,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.2
0x0d0bd6469be80d57893cf1b21434936dfaa35319,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x0d0cb0e747ef8c376eeba2903166e47d39cf0723,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.1574
0x0d307d9c8b6d4aad162a662e4bbfba9ea96a5f81,0x345122f6513329d169cff39ace8978edc3942b5d,0.1
0x0d610b788a324d3372641a9b7f1ee9f42e83f73c,0xc46e9a66fddc8d1a69529d86e668236f02957f1b,1.0
0x0d610b788a324d3372641a9b7f1ee9f42e83f73c,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.3
0x0dee12a2548432702e1c275c50b3ad223f9a74be,0xeb95ff72eab9e8d8fdb545fe15587accf410b42e,0.03
0x0defa6c5230d1c966381faa4537d0111d9570e73,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.04
0x0e11de3e815491b1383d2b9c4f99095c20b5bd90,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x0e2841e0e774799d9af4628d61968127975a230e,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.011
0x0e290e66b061435c9dc7f7503f7979537fd5cb7a,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.016
0x0ec364efccb98ed3656c280a816631c1663ef0ba,0xadbd9aeda5633448e8b4953b4376c9514075abf4,0.01
0x0ec364efccb98ed3656c280a816631c1663ef0ba,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.1
0x0eca81c3383293a9788bdbd188703fa79fc3b84a,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.1
0x0ed24e51a0a342150fb3ac6bbe1ae50ca986bba7,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.102
0x0f13316b80872eda120d7844ed1c1e90fc001dc1,0xf0cad7c8b383f79a879eb6df644e336234ebdac8,0.25
0x0f32c8fbd8fe29d5ef451ed9f8a13062c00ed583,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.25
0x0f9b1b68f848cb65f532bc12825357201726d3d2,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x0fc84e15aeb7907a76a221169d80d3eb06cdb44b,0x3527a204a5260a0e36ca695312379370328e4e6c,0.9670000000000001
0x0fea2126f24934a237a1cda032d03101f93d7ab3,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0001
0x0febbb3f91fae9bdc2f86b82c1b61a1df6c6a5e8,0x3527a204a5260a0e36ca695312379370328e4e6c,0.87
0x104562bfddade5f08582ecf2a4cd61a3759696fa,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,1.05
0x1081a05d112a664d9e57c125296c3ea0478f8adc,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.02
0x10c50833404d2efa959898389dabf9125b6e6f40,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.1
0x10d6d2e343281d388291a3e02f3293aaeda67178,0x2ae8c972fb2e6c00dded8986e2dc672ed190da06,0.2
0x10d6d2e343281d388291a3e02f3293aaeda67178,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,0.1
0x10d6d2e343281d388291a3e02f3293aaeda67178,0xdc1f98682f4f8a5c6d54f345f448437b83f5e432,0.1
0x10d6d2e343281d388291a3e02f3293aaeda67178,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.2
0x10e5fdfc4f07b9747a99aa2aa0e154011c84a9c2,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,2.0
0x10f5d45854e038071485ac9e402308cf80d2d2fe,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.1
0x10f5d45854e038071485ac9e402308cf80d2d2fe,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.1
0x1128ea50438623f5cd1622535949458db1554b63,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x119b49a1c266c67656d098c320b697cc5ce94c43,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.2
0x11b4e83bc3e9605f03e2a4c34bd09567be5aebbe,0xadbd9aeda5633448e8b4953b4376c9514075abf4,0.05
0x11ea7888c0020d34cb37e89ac8bd544120bb16ec,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.2321
0x1200eb4fa3df9903fc6eff1d7a4a5d17502329b2,0xda18e1537622802ec576d99a8e3913914653bd6f,0.4
0x1200eb4fa3df9903fc6eff1d7a4a5d17502329b2,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x124d05e1cf1316141463224e3b9a9592044ee325,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x129376ca458092591d05ce549c670519d8d7e68b,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.1
0x12942f45ee80ea6ddf6fa1bd15cc826a30d8a6d2,0xda18e1537622802ec576d99a8e3913914653bd6f,0.03
0x12a0e25e62c1dbd32e505446062b26aecb65f028,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x12a9e548af685735d724deb774f447fbacd5756d,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x12abfc805cbb1ef7a898a33f43301bbd24a5d8d2,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.2
0x12bea9604f0ee6331dd86dff2e6569dff79e0f92,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.01
0x12cf032762d823e6925cc3e8a6ae3b21e04ee0d5,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,7.77
0x1334fdd8ae0694168785aca024768f1d99b65ff9,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.02
