buyer,valuebought,contract_address,fundingRecipient,org_quantity,org_price,editionId,evt_block_time
\x6b75d4c7a4cff4d1bd94a7e34b69f4b6c2a3b44f,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x526884eab1ffa91545e2d963e66bd6f78b67892d,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x526884eab1ffa91545e2d963e66bd6f78b67892d,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\xe4709a6bc622d60ee15a29880561c85c7fdac46d,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xe4709a6bc622d60ee15a29880561c85c7fdac46d,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xe4709a6bc622d60ee15a29880561c85c7fdac46d,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\x6b75d4c7a4cff4d1bd94a7e34b69f4b6c2a3b44f,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xa32e9a93407c629d1a952bdadc0d2f72887d0326,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xe4709a6bc622d60ee15a29880561c85c7fdac46d,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\xe4709a6bc622d60ee15a29880561c85c7fdac46d,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\xe4709a6bc622d60ee15a29880561c85c7fdac46d,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\xe4709a6bc622d60ee15a29880561c85c7fdac46d,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xe4709a6bc622d60ee15a29880561c85c7fdac46d,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x6b75d4c7a4cff4d1bd94a7e34b69f4b6c2a3b44f,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\x9798a181e731ee9d3abffc5ae15c93ca3d95a8e3,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\xd1b856ee12bd00922cae8dd86ab068f8c0f95224,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xcb07bcb66b8e796429fdeed4628c9dd4062f829c,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x07cbd4e4473140b6078aa987907aaff5e500b9f1,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\x07cbd4e4473140b6078aa987907aaff5e500b9f1,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x44dc2ec15b3483fc8590f6b396cea5f8f2fbf3bd,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\x96dc89dbe84970ee42a2f0b35fb50599e6745ff8,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\xe1859624be443eb2e81c93c693131ebe82ae2fe5,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xe1859624be443eb2e81c93c693131ebe82ae2fe5,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\x6f40bebf8f5836ac13db8c71445398f54cadc6c8,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xba0111f5ec1b6f2f092e9730f5f64840f3b42c95,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x16f530a535123cfc13a98ef5c85fd14857960eed,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xb464ca834796272e08dc6460940b281b046a2cee,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x78adb1b4707b4b75a407dd913238735382451481,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x78adb1b4707b4b75a407dd913238735382451481,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xe1859624be443eb2e81c93c693131ebe82ae2fe5,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
